,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
83,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11783,Samuel Alito,0.03,0.98,0.02,0.97,2020-08-20T12:16:12.3582699,Open
84,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11781,Elena Kagan,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
85,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11782,Sonia Sotomayor,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
86,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11788,Neil Gorsuch,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
87,4928,Will Trump's next Supreme Court nominee be a woman?,https://www.predictit.org/markets/detail/4928/Will-Trump's-next-Supreme-Court-nominee-be-a-woman,12712,Will Trump's next Supreme Court nominee be a woman?,0.23,0.78,0.22,0.77,2020-08-20T12:16:12.3582699,Open
88,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12739,Amy Coney Barrett,0.22,0.79,0.21,0.78,2020-08-20T12:16:12.3582699,Open
89,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12719,Thomas Hardiman,0.03,0.98,0.02,0.97,2020-08-20T12:16:12.3582699,Open
90,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12738,Britt Grant,0.03,0.99,0.01,0.97,2020-08-20T12:16:12.3582699,Open
91,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12714,Merrick Garland,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
92,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12715,Charles Canady,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
93,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12716,Steven Colloton,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
94,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12717,Allison Eid,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
95,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12718,Raymond Gruender,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
96,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12720,Raymond Kethledge,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
97,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12721,Mike Lee,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
98,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12722,Thomas Lee,0.01,0,0,0.99,2020-08-20T12:16:12.3582699,Open
